,,,dt,,CTE,,angle,,,,,
step,91, dt,0.01252, cte,-0.3808, steer angle,-0.6937, steer setpt,-0.43401, steer cmd,-0.03201, 
step,92, dt,0.31368, cte,-0.3848, steer angle,-0.417, steer setpt,-0.42164, steer cmd,-0.03426, 
step,93, dt,0.00973, cte,-0.4399, steer angle,-0.3639, steer setpt,0.26784, steer cmd,-0.01923, 
step,94, dt,0.31264, cte,-0.4399, steer angle,-0.3639, steer setpt,0.25578, steer cmd,-0.01194, 
step,95, dt,0.01103, cte,-0.3219, steer angle,-0.0445, steer setpt,-1.19607, steer cmd,-0.0435, 
step,96, dt,0.01238, cte,-0.3219, steer angle,-0.0445, steer setpt,-1.2063, steer cmd,-0.05619, 
step,97, dt,0.01225, cte,-0.3126, steer angle,-0.6511, steer setpt,-1.3792, steer cmd,-0.06277, 
step,98, dt,0.01312, cte,-0.3035, steer angle,-0.9683, steer setpt,-2.17883, steer cmd,-0.08507, 
step,99, dt,0.0142, cte,-0.3035, steer angle,-0.9683, steer setpt,-2.22115, steer cmd,-0.10216, 
step,100, dt,0.01348, cte,-0.2949, steer angle,-1.6903, steer setpt,-0.92952, steer cmd,-0.07395, 
step,101, dt,0.01332, cte,-0.2869, steer angle,-2.1176, steer setpt,-1.02768, steer cmd,-0.06007, 
step,102, dt,0.01184, cte,-0.2869, steer angle,-2.1176, steer setpt,-0.91812, steer cmd,-0.04282, 
step,103, dt,0.01337, cte,-0.2792, steer angle,-1.0654, steer setpt,-0.90148, steer cmd,-0.04964, 
step,104, dt,0.01363, cte,-0.2792, steer angle,-1.0654, steer setpt,-0.90153, steer cmd,-0.04503, 
step,105, dt,0.01395, cte,-0.2718, steer angle,-0.8046, steer setpt,-0.8871, steer cmd,-0.04832, 
step,106, dt,0.01385, cte,-0.2646, steer angle,-0.6895, steer setpt,-0.87723, steer cmd,-0.05135, 
step,107, dt,0.31625, cte,-0.2576, steer angle,-0.7717, steer setpt,-0.96236, steer cmd,-0.05385, 
step,108, dt,0.01349, cte,-0.1906, steer angle,-0.8474, steer setpt,-1.68857, steer cmd,-0.07138, 
step,109, dt,0.01317, cte,-0.1888, steer angle,-0.91, steer setpt,-1.73698, steer cmd,-0.08157, 
step,110, dt,0.01345, cte,-0.1875, steer angle,-1.3483, steer setpt,-1.69029, steer cmd,-0.08229, 
step,111, dt,0.01494, cte,-0.1875, steer angle,-1.3483, steer setpt,-1.62834, steer cmd,-0.0868, 
step,112, dt,0.0142, cte,-0.1868, steer angle,-1.6209, steer setpt,-1.57506, steer cmd,-0.08348, 
step,113, dt,0.01339, cte,-0.1866, steer angle,-1.7337, steer setpt,-0.78158, steer cmd,-0.06289, 
step,114, dt,0.01265, cte,-0.187, steer angle,-1.6508, steer setpt,-0.7502, steer cmd,-0.05254, 
step,115, dt,0.01285, cte,-0.187, steer angle,-1.6508, steer setpt,-0.72894, steer cmd,-0.03915, 
step,116, dt,0.01411, cte,-0.1879, steer angle,-0.8771, steer setpt,-0.71206, steer cmd,-0.04336, 
step,117, dt,0.01227, cte,-0.1879, steer angle,-0.8771, steer setpt,-0.69726, steer cmd,-0.03901, 
step,118, dt,0.01265, cte,-0.189, steer angle,-0.6477, steer setpt,-0.67487, steer cmd,-0.04121, 
step,119, dt,0.01149, cte,-0.1905, steer angle,-0.539, steer setpt,-0.65438, steer cmd,-0.04315, 
step,120, dt,0.01365, cte,-0.1905, steer angle,-0.539, steer setpt,-0.64687, steer cmd,-0.04443, 
step,121, dt,0.01505, cte,-0.1923, steer angle,-0.6425, steer setpt,-0.62835, steer cmd,-0.04319, 
step,122, dt,0.0129, cte,-0.1944, steer angle,-0.6744, steer setpt,-0.59481, steer cmd,-0.04177, 
step,123, dt,0.01277, cte,-0.1944, steer angle,-0.6744, steer setpt,-0.59945, steer cmd,-0.04089, 
step,124, dt,0.0133, cte,-0.1968, steer angle,-0.6079, steer setpt,-0.58008, steer cmd,-0.04089, 
step,125, dt,0.01355, cte,-0.1996, steer angle,-0.5859, steer setpt,-0.53714, steer cmd,-0.03991, 
step,126, dt,0.01259, cte,-0.1996, steer angle,-0.5859, steer setpt,-0.54916, steer cmd,-0.03954, 
step,127, dt,0.01379, cte,-0.2026, steer angle,-0.5615, steer setpt,-0.5289, steer cmd,-0.03909, 
step,128, dt,0.31216, cte,-0.2059, steer angle,-0.5522, steer setpt,-0.47895, steer cmd,-0.03769, 
step,129, dt,0.01016, cte,-0.2857, steer angle,-0.5408, steer setpt,0.4765, steer cmd,-0.01521, 
step,130, dt,0.01315, cte,-0.2928, steer angle,-0.5059, steer setpt,0.5709, steer cmd,-0.00149, 
step,131, dt,0.01368, cte,-0.2928, steer angle,-0.5059, steer setpt,0.61513, steer cmd,0.01468, 
step,132, dt,0.01297, cte,-0.3, steer angle,0.3991, steer setpt,0.71121, steer cmd,0.01206, 
step,133, dt,0.01471, cte,-0.307, steer angle,0.8033, steer setpt,0.80346, steer cmd,0.01116, 
step,134, dt,0.0139, cte,-0.3139, steer angle,0.7378, steer setpt,-0.0368, steer cmd,-0.00582, 
step,135, dt,0.31443, cte,-0.3139, steer angle,0.7378, steer setpt,-0.10257, steer cmd,-0.01661, 
step,136, dt,0.01183, cte,-0.4083, steer angle,0.2909, steer setpt,1.06747, steer cmd,0.00846, 
step,137, dt,0.31213, cte,-0.4083, steer angle,0.2909, steer setpt,1.03555, steer cmd,0.01521, 
step,138, dt,0.01151, cte,-0.2978, steer angle,0.6479, steer setpt,-0.3443, steer cmd,-0.01375, 
