step,      90, dt,   0.01185, cte,  -0.38080, steer angle,  -0.69370, steer setpt,  -0.39449, steer cmd,  -0.03413, 
step,      91, dt,   0.01252, cte,  -0.38080, steer angle,  -0.69370, steer setpt,  -0.43401, steer cmd,  -0.03201, 
step,      92, dt,   0.31368, cte,  -0.38480, steer angle,  -0.41700, steer setpt,  -0.42164, steer cmd,  -0.03426, 
step,      93, dt,   0.00973, cte,  -0.43990, steer angle,  -0.36390, steer setpt,   0.26784, steer cmd,  -0.01923, 
step,      94, dt,   0.31264, cte,  -0.43990, steer angle,  -0.36390, steer setpt,   0.25578, steer cmd,  -0.01194, 
step,      95, dt,   0.01103, cte,  -0.32190, steer angle,  -0.04450, steer setpt,  -1.19607, steer cmd,  -0.04350, 
step,      96, dt,   0.01238, cte,  -0.32190, steer angle,  -0.04450, steer setpt,  -1.20630, steer cmd,  -0.05619, 
step,      97, dt,   0.01225, cte,  -0.31260, steer angle,  -0.65110, steer setpt,  -1.37920, steer cmd,  -0.06277, 
step,      98, dt,   0.01312, cte,  -0.30350, steer angle,  -0.96830, steer setpt,  -2.17883, steer cmd,  -0.08507, 
step,      99, dt,   0.01420, cte,  -0.30350, steer angle,  -0.96830, steer setpt,  -2.22115, steer cmd,  -0.10216, 
step,     100, dt,   0.01348, cte,  -0.29490, steer angle,  -1.69030, steer setpt,  -0.92952, steer cmd,  -0.07395, 
step,     101, dt,   0.01332, cte,  -0.28690, steer angle,  -2.11760, steer setpt,  -1.02768, steer cmd,  -0.06007, 
step,     102, dt,   0.01184, cte,  -0.28690, steer angle,  -2.11760, steer setpt,  -0.91812, steer cmd,  -0.04282, 
step,     103, dt,   0.01337, cte,  -0.27920, steer angle,  -1.06540, steer setpt,  -0.90148, steer cmd,  -0.04964, 
step,     104, dt,   0.01363, cte,  -0.27920, steer angle,  -1.06540, steer setpt,  -0.90153, steer cmd,  -0.04503, 
step,     105, dt,   0.01395, cte,  -0.27180, steer angle,  -0.80460, steer setpt,  -0.88710, steer cmd,  -0.04832, 
step,     106, dt,   0.01385, cte,  -0.26460, steer angle,  -0.68950, steer setpt,  -0.87723, steer cmd,  -0.05135, 
step,     107, dt,   0.31625, cte,  -0.25760, steer angle,  -0.77170, steer setpt,  -0.96236, steer cmd,  -0.05385, 
step,     108, dt,   0.01349, cte,  -0.19060, steer angle,  -0.84740, steer setpt,  -1.68857, steer cmd,  -0.07138, 
step,     109, dt,   0.01317, cte,  -0.18880, steer angle,  -0.91000, steer setpt,  -1.73698, steer cmd,  -0.08157, 
step,     110, dt,   0.01345, cte,  -0.18750, steer angle,  -1.34830, steer setpt,  -1.69029, steer cmd,  -0.08229, 
step,     111, dt,   0.01494, cte,  -0.18750, steer angle,  -1.34830, steer setpt,  -1.62834, steer cmd,  -0.08680, 
step,     112, dt,   0.01420, cte,  -0.18680, steer angle,  -1.62090, steer setpt,  -1.57506, steer cmd,  -0.08348, 
step,     113, dt,   0.01339, cte,  -0.18660, steer angle,  -1.73370, steer setpt,  -0.78158, steer cmd,  -0.06289, 
step,     114, dt,   0.01265, cte,  -0.18700, steer angle,  -1.65080, steer setpt,  -0.75020, steer cmd,  -0.05254, 
step,     115, dt,   0.01285, cte,  -0.18700, steer angle,  -1.65080, steer setpt,  -0.72894, steer cmd,  -0.03915, 
step,     116, dt,   0.01411, cte,  -0.18790, steer angle,  -0.87710, steer setpt,  -0.71206, steer cmd,  -0.04336, 
step,     117, dt,   0.01227, cte,  -0.18790, steer angle,  -0.87710, steer setpt,  -0.69726, steer cmd,  -0.03901, 
step,     118, dt,   0.01265, cte,  -0.18900, steer angle,  -0.64770, steer setpt,  -0.67487, steer cmd,  -0.04121, 
